rgn_id,sciname,iucn_sid,year,eval_yr,category
2012,Balaenoptera physalus,2478,1993,1990,VU
2012,Cetorhinus maximus,4292,1993,,VU
2012,Cetorhinus maximus,39340,1993,,EN
2012,Eubalaena glacialis,41712,1993,,EN
2012,Isurus oxyrinchus,39341,1993,,NT
2012,Isurus oxyrinchus,161749,1993,,VU
2012,Lamna nasus,39343,1993,,VU
2012,Megaptera novaeangliae,13006,1993,1990,VU
2012,Prionace glauca,39381,1993,,NT
2012,Ursus maritimus,22823,1993,1990,VU
2012,Alopias vulpinus,39339,1992,,VU
2012,Balaena mysticetus,2467,1992,1990,VU
2012,Balaena mysticetus,2472,1992,,EN
2012,Balaenoptera acutorostrata,2474,1992,,NT
2012,Balaenoptera musculus,2477,1992,1990,EN
2012,Balaenoptera physalus,2478,1992,1990,VU
2012,Cetorhinus maximus,4292,1992,,VU
2012,Cetorhinus maximus,39340,1992,,EN
2012,Eubalaena glacialis,41712,1992,,EN
2012,Isurus oxyrinchus,39341,1992,,NT
2012,Isurus oxyrinchus,161749,1992,,VU
2012,Lamna nasus,39343,1992,,VU
2012,Megaptera novaeangliae,13006,1992,1990,VU
2012,Prionace glauca,39381,1992,,NT
2012,Ursus maritimus,22823,1992,1990,VU
2014,Alopias vulpinus,39339,2018,2009,VU
2014,Balaena mysticetus,2467,2018,2018,LC
2014,Balaena mysticetus,2472,2018,2018,EN
2014,Balaenoptera acutorostrata,2474,2018,2008,LC
2014,Balaenoptera musculus,2477,2018,2008,EN
2014,Balaenoptera physalus,2478,2018,2013,EN
2014,Cetorhinus maximus,4292,2018,2009,VU
2014,Cetorhinus maximus,39340,2018,2009,EN
2014,Eubalaena glacialis,41712,2018,2018,EN
2014,Isurus oxyrinchus,39341,2018,2009,VU
2014,Isurus oxyrinchus,161749,2018,2009,VU
2014,Lamna nasus,39343,2018,2006,CR
2014,Megaptera novaeangliae,13006,2018,2008,LC
2014,Prionace glauca,39381,2018,2009,NT
2014,Ursus maritimus,22823,2018,2015,VU
2014,Alopias vulpinus,39339,2017,2009,VU
2014,Balaena mysticetus,2467,2017,2012,LC
2014,Balaena mysticetus,2472,2017,2012,CR
2014,Balaenoptera acutorostrata,2474,2017,2008,LC
2014,Balaenoptera musculus,2477,2017,2008,EN
2014,Balaenoptera physalus,2478,2017,2013,EN
2014,Cetorhinus maximus,4292,2017,2009,VU
2014,Cetorhinus maximus,39340,2017,2009,EN
2014,Eubalaena glacialis,41712,2017,2012,EN
2014,Isurus oxyrinchus,39341,2017,2009,VU
2014,Isurus oxyrinchus,161749,2017,2009,VU
2014,Lamna nasus,39343,2017,2006,CR
2014,Megaptera novaeangliae,13006,2017,2008,LC
2014,Prionace glauca,39381,2017,2009,NT
2014,Ursus maritimus,22823,2017,2015,VU
2014,Alopias vulpinus,39339,2016,2009,VU
2014,Balaena mysticetus,2467,2016,2012,LC
2014,Balaena mysticetus,2472,2016,2012,CR
2014,Balaenoptera acutorostrata,2474,2016,2008,LC
2014,Balaenoptera musculus,2477,2016,2008,EN
2014,Balaenoptera physalus,2478,2016,2013,EN
2014,Cetorhinus maximus,4292,2016,2009,VU
2014,Cetorhinus maximus,39340,2016,2009,EN
