rgn_id,year,taxa_code,sust_coeff
1849,2012,Atlantic cod_1053,0.17
1849,2012,Atlantic halibut_1054,0.533333333
1849,2012,Atlantic salmon_1055,0.23
1849,2012,Blue mussel_1056,0.93
1849,2012,Chars nei_1057,0.444010417
1849,2012,European flat oyster_1058,0.83
1849,2012,Finfishes nei_1059,0.444010417
1849,2012,Great Atlantic scallop_1060,0.811764706
1849,2012,Marine crustaceans nei_1061,0.3
1849,2012,Pacific cupped oyster_1062,0.73
1849,2012,Rainbow trout_1063,0.566666667
1849,2012,Scallops nei_1064,0.833333333
1850,2012,Arctic char_1052,0.533333333
1850,2012,Atlantic cod_1053,0.17
1850,2012,Atlantic halibut_1054,0.533333333
1850,2012,Atlantic salmon_1055,0.23
1850,2012,Blue mussel_1056,0.93
1850,2012,Chars nei_1057,0.444010417
1850,2012,European flat oyster_1058,0.83
1850,2012,Finfishes nei_1059,0.444010417
1850,2012,Great Atlantic scallop_1060,0.811764706
1850,2012,Marine crustaceans nei_1061,0.3
1850,2012,Pacific cupped oyster_1062,0.73
1850,2012,Rainbow trout_1063,0.566666667
1850,2012,Scallops nei_1064,0.833333333
1851,2012,Arctic char_1052,0.533333333
1851,2012,Atlantic cod_1053,0.17
1851,2012,Atlantic halibut_1054,0.533333333
1851,2012,Atlantic salmon_1055,0.23
1851,2012,Blue mussel_1056,0.93
1851,2012,Chars nei_1057,0.444010417
1851,2012,European flat oyster_1058,0.83
1851,2012,Finfishes nei_1059,0.444010417
1851,2012,Great Atlantic scallop_1060,0.811764706
1851,2012,Marine crustaceans nei_1061,0.3
1851,2012,Pacific cupped oyster_1062,0.73
1851,2012,Rainbow trout_1063,0.566666667
1851,2012,Scallops nei_1064,0.833333333
1852,2012,Arctic char_1052,0.533333333
1852,2012,Atlantic cod_1053,0.17
1852,2012,Atlantic halibut_1054,0.533333333
1852,2012,Atlantic salmon_1055,0.23
1852,2012,Blue mussel_1056,0.93
1852,2012,Chars nei_1057,0.444010417
1852,2012,European flat oyster_1058,0.83
1852,2012,Finfishes nei_1059,0.444010417
1852,2012,Great Atlantic scallop_1060,0.811764706
1852,2012,Marine crustaceans nei_1061,0.3
1852,2012,Pacific cupped oyster_1062,0.73
1852,2012,Rainbow trout_1063,0.566666667
1852,2012,Scallops nei_1064,0.833333333
1853,2012,Arctic char_1052,0.533333333
1853,2012,Atlantic cod_1053,0.17
1853,2012,Atlantic halibut_1054,0.533333333
1853,2012,Atlantic salmon_1055,0.23
1853,2012,Blue mussel_1056,0.93
1853,2012,Chars nei_1057,0.444010417
1853,2012,European flat oyster_1058,0.83
1853,2012,Finfishes nei_1059,0.444010417
1853,2012,Great Atlantic scallop_1060,0.811764706
1853,2012,Marine crustaceans nei_1061,0.3
1853,2012,Pacific cupped oyster_1062,0.73
1853,2012,Rainbow trout_1063,0.566666667
1853,2012,Scallops nei_1064,0.833333333
1854,2012,Arctic char_1052,0.533333333
1854,2012,Atlantic cod_1053,0.17
1854,2012,Atlantic halibut_1054,0.533333333
1854,2012,Atlantic salmon_1055,0.23
1854,2012,Blue mussel_1056,0.93
1854,2012,Chars nei_1057,0.444010417
1854,2012,European flat oyster_1058,0.83
1854,2012,Finfishes nei_1059,0.444010417
1854,2012,Great Atlantic scallop_1060,0.811764706
1854,2012,Marine crustaceans nei_1061,0.3
1854,2012,Pacific cupped oyster_1062,0.73
1854,2012,Rainbow trout_1063,0.566666667
1854,2012,Scallops nei_1064,0.833333333
1856,2012,Arctic char_1052,0.533333333
1856,2012,Atlantic cod_1053,0.17
1856,2012,Atlantic halibut_1054,0.533333333
1856,2012,Atlantic salmon_1055,0.23
1856,2012,Blue mussel_1056,0.93
1856,2012,Chars nei_1057,0.444010417
1856,2012,European flat oyster_1058,0.83
1856,2012,Finfishes nei_1059,0.444010417
1856,2012,Great Atlantic scallop_1060,0.811764706
1856,2012,Marine crustaceans nei_1061,0.3
1856,2012,Pacific cupped oyster_1062,0.73
1856,2012,Rainbow trout_1063,0.566666667
1856,2012,Scallops nei_1064,0.833333333
1857,2012,Arctic char_1052,0.533333333
1857,2012,Atlantic cod_1053,0.17
1857,2012,Atlantic halibut_1054,0.533333333
1857,2012,Atlantic salmon_1055,0.23
1857,2012,Blue mussel_1056,0.93
1857,2012,Chars nei_1057,0.444010417
1857,2012,European flat oyster_1058,0.83
1857,2012,Finfishes nei_1059,0.444010417
1857,2012,Great Atlantic scallop_1060,0.811764706
1857,2012,Marine crustaceans nei_1061,0.3
