rgn_id,year,resilience.score
1824,2009,0.162833157526417
1824,2010,0.162989473762369
1824,2011,0.162989473762369
1824,2012,0.164000644413683
1824,2013,0.164750473858015
1824,2014,0.164754381763913
1824,2015,0.164755358740388
1824,2016,0.166311682264585
1824,2017,0.166311682264585
1824,2018,0.166311682264585
1827,2000,0.140996267852169
1827,2001,0.140997244828644
1827,2002,0.148058830787772
1827,2003,0.156414910575878
1827,2004,0.157028940290227
1827,2005,0.16175604096306
1827,2006,0.161791700604387
1827,2007,0.161791700604387
1827,2008,0.161796096998523
1827,2009,0.162833157526417
1827,2010,0.162989473762369
1827,2011,0.162989473762369
1827,2012,0.164000644413683
1827,2013,0.164750473858015
1827,2014,0.164754381763913
1827,2015,0.164755358740388
1827,2016,0.166311682264585
1827,2017,0.166311682264585
