rgn_id,year,a_prot_1km
1924,2006,6489.5
1924,2007,6491.5
1924,2008,6495.5
1924,2009,6630.75
1924,2010,6731
1924,2011,6736.25
1924,2012,6736.5
1924,2013,6765.25
1924,2014,6769.75
1924,2015,6778.5
1924,2016,6819.75
1924,2017,6819.75
1924,2018,6819.75
1925,2000,4988
1925,2001,5001.75
1925,2002,5231.25
1925,2003,5860.5
1925,2004,6165
1925,2005,6386
1925,2006,6489.5
1925,2007,6491.5
1925,2008,6495.5
1925,2009,6630.75
1925,2010,6731
1925,2011,6736.25
1925,2012,6736.5
1925,2013,6765.25
1925,2014,6769.75
1925,2015,6778.5
1925,2016,6819.75
1925,2017,6819.75
1925,2018,6819.75
1926,2000,4988
1926,2001,5001.75
1926,2002,5231.25
1926,2003,5860.5
1926,2004,6165
1926,2005,6386
1926,2006,6489.5
1926,2007,6491.5
1926,2008,6495.5
1926,2009,6630.75
1926,2010,6731
1926,2011,6736.25
1926,2012,6736.5
1926,2013,6765.25
1926,2014,6769.75
1926,2015,6778.5
1926,2016,6819.75
1926,2017,6819.75
1926,2018,6819.75
1927,2000,4988
1927,2001,5001.75
1927,2002,5231.25
1927,2003,5860.5
1927,2004,6165
1927,2005,6386
1927,2006,6489.5
1927,2007,6491.5
1927,2008,6495.5
1927,2009,6630.75
1927,2010,6731
1927,2011,6736.25
1927,2012,6736.5
1927,2013,6765.25
1927,2014,6769.75
1927,2015,6778.5
1927,2016,6819.75
1927,2017,6819.75
1927,2018,6819.75
1928,2000,4988
1928,2001,5001.75
1928,2002,5231.25
1928,2003,5860.5
1928,2004,6165
1928,2005,6386
1928,2006,6489.5
1928,2007,6491.5
1928,2008,6495.5
1928,2009,6630.75
1928,2010,6731
1928,2011,6736.25
1928,2012,6736.5
1928,2013,6765.25
1928,2014,6769.75
1928,2015,6778.5
1928,2016,6819.75
1928,2017,6819.75
1928,2018,6819.75
1929,2000,4988
1929,2001,5001.75
1929,2002,5231.25
1929,2003,5860.5
1929,2004,6165
1929,2005,6386
1929,2006,6489.5
1929,2007,6491.5
1929,2008,6495.5
